市町村,年,客室数
大宜味村,2013,25
東村,2013,53
今帰仁村,2013,328
本部町,2013,960
恩納村,2013,4104
宜野座村,2013,118
金武町,2013,54
宮古島市,2013,2732
多良間村,2013,65
石垣市,2013,3952
竹富町,2013,1521
与那国町,2013,290
久米島町,2013,669
渡嘉敷村,2013,368
座間味村,2013,569
粟国村,2013,77
渡名喜村,2013,34
南大東村,2013,101
北大東村,2013,45
伊江村,2013,171
伊平屋村,2013,110
伊是名村,2013,167
沖縄県,2013,38905
南部,2013,15663
中部,2013,3988
北部,2013,8383
宮古,2013,2797
八重山,2013,5763
離島,2013,2311
那覇市,2014,14543
糸満市,2014,515
豊見城市,2014,426
八重瀬町,2014,64
南城市,2014,181
与那原町,2014,40
南風原町,2014,4
沖縄市,2014,653
宜野湾市,2014,535
浦添市,2014,51
うるま市,2014,560
読谷村,2014,1140
嘉手納町,2014,17
北谷町,2014,1065
北中城村,2014,317
中城村,2014,0
西原町,2014,32
名護市,2014,2429
国頭村,2014,348
大宜味村,2014,26
東村,2014,53
今帰仁村,2014,356
本部町,2014,1174
恩納村,2014,4177
宜野座村,2014,127
金武町,2014,57
宮古島市,2014,3052
多良間村,2014,65
石垣市,2014,4067
竹富町,2014,1568
与那国町,2014,296
久米島町,2014,665
渡嘉敷村,2014,364
座間味村,2014,576
粟国村,2014,77
渡名喜村,2014,34
南大東村,2014,101
北大東村,2014,45
伊江村,2014,171
伊平屋村,2014,105
伊是名村,2014,167
沖縄県,2014,40243
南部,2014,15773
中部,2014,4370
北部,2014,8747
宮古,2014,3117
八重山,2014,5931
離島,2014,2305
那覇市,2015,15018
糸満市,2015,512
豊見城市,2015,438
八重瀬町,2015,63
南城市,2015,187
与那原町,2015,40
南風原町,2015,8
沖縄市,2015,692
宜野湾市,2015,543
浦添市,2015,49
うるま市,2015,562
読谷村,2015,1153
嘉手納町,2015,19
北谷町,2015,1142
北中城村,2015,337
中城村,2015,0
西原町,2015,32
名護市,2015,2385
国頭村,2015,352
大宜味村,2015,26
東村,2015,54
今帰仁村,2015,404
本部町,2015,1264
恩納村,2015,4215
宜野座村,2015,122
金武町,2015,65
宮古島市,2015,3110
多良間村,2015,62
石垣市,2015,4048
竹富町,2015,1585
与那国町,2015,290
久米島町,2015,623
渡嘉敷村,2015,363
座間味村,2015,580
粟国村,2015,77
渡名喜村,2015,34
南大東村,2015,97
北大東村,2015,45
伊江村,2015,162
伊平屋村,2015,105
伊是名村,2015,174
沖縄県,2015,41037
南部,2015,16266
中部,2015,4529
北部,2015,8887
宮古,2015,3172
八重山,2015,5923
離島,2015,2260
那覇市,2016,15857
糸満市,2016,514
豊見城市,2016,443
八重瀬町,2016,65
南城市,2016,193
与那原町,2016,44
南風原町,2016,8
沖縄市,2016,705
宜野湾市,2016,552
浦添市,2016,55
うるま市,2016,647
読谷村,2016,1213
嘉手納町,2016,21
北谷町,2016,1308
北中城村,2016,340
中城村,2016,0
西原町,2016,32
名護市,2016,2463
国頭村,2016,344
大宜味村,2016,27
東村,2016,62
今帰仁村,2016,484
本部町,2016,1296
恩納村,2016,4345
宜野座村,2016,128
金武町,2016,70
宮古島市,2016,3150
多良間村,2016,73
石垣市,2016,4109
竹富町,2016,1596
与那国町,2016,290
久米島町,2016,618
渡嘉敷村,2016,363
座間味村,2016,590
粟国村,2016,77
渡名喜村,2016,33
南大東村,2016,97
北大東村,2016,45
伊江村,2016,162
伊平屋村,2016,105
伊是名村,2016,171
沖縄県,2016,42695
南部,2016,17124
中部,2016,4873
北部,2016,9219
宮古,2016,3223
八重山,2016,5995
離島,2016,2261
那覇市,2017,17574
糸満市,2017,629
豊見城市,2017,486
八重瀬町,2017,72
南城市,2017,309
与那原町,2017,51
南風原町,2017,10
沖縄市,2017,886
宜野湾市,2017,658
浦添市,2017,90
うるま市,2017,629
読谷村,2017,1247
嘉手納町,2017,26
北谷町,2017,1423
北中城村,2017,340
中城村,2017,0
西原町,2017,39
名護市,2017,2607
国頭村,2017,352
大宜味村,2017,34
東村,2017,68
今帰仁村,2017,564
本部町,2017,1358
恩納村,2017,4438
宜野座村,2017,133
金武町,2017,107
宮古島市,2017,3248
多良間村,2017,82
石垣市,2017,4518
竹富町,2017,1612
与那国町,2017,292
久米島町,2017,635
渡嘉敷村,2017,353
座間味村,2017,534
粟国村,2017,77
渡名喜村,2017,33
南大東村,2017,94
北大東村,2017,45
伊江村,2017,157
伊平屋村,2017,105
伊是名村,2017,153
沖縄県,2017,46068
南部,2017,19131
中部,2017,5338
北部,2017,9661
宮古,2017,3330
八重山,2017,6422
離島,2017,2186
那覇市,2018,18507
糸満市,2018,642
豊見城市,2018,504
八重瀬町,2018,73
南城市,2018,299
与那原町,2018,43
南風原町,2018,43
沖縄市,2018,958
宜野湾市,2018,761
浦添市,2018,113
うるま市,2018,715
読谷村,2018,1254
嘉手納町,2018,27
北谷町,2018,2060
北中城村,2018,343
中城村,2018,24
西原町,2018,34
名護市,2018,2828
国頭村,2018,362
大宜味村,2018,37
東村,2018,84
今帰仁村,2018,586
本部町,2018,1592
恩納村,2018,4963
宜野座村,2018,144
金武町,2018,121
宮古島市,2018,3534
多良間村,2018,88
石垣市,2018,4652
竹富町,2018,1651
与那国町,2018,292
久米島町,2018,666
渡嘉敷村,2018,328
座間味村,2018,529
粟国村,2018,77
渡名喜村,2018,33
南大東村,2018,94
北大東村,2018,45
伊江村,2018,192
伊平屋村,2018,105
伊是名村,2018,157
沖縄県,2018,49560
南部,2018,20111
中部,2018,6289
北部,2018,10717
宮古,2018,3622
八重山,2018,6595
離島,2018,2226
那覇市,2019,19917
糸満市,2019,654
豊見城市,2019,541
八重瀬町,2019,82
南城市,2019,425
与那原町,2019,43
南風原町,2019,43
沖縄市,2019,1242
宜野湾市,2019,805
浦添市,2019,150
うるま市,2019,908
読谷村,2019,1366
嘉手納町,2019,59
北谷町,2019,2217
北中城村,2019,384
中城村,2019,24
西原町,2019,33
名護市,2019,3098
国頭村,2019,386
大宜味村,2019,43
東村,2019,105
今帰仁村,2019,555
本部町,2019,1862
恩納村,2019,5676
宜野座村,2019,149
金武町,2019,148
宮古島市,2019,3935
多良間村,2019,73
石垣市,2019,5448
竹富町,2019,1502
与那国町,2019,299
久米島町,2019,658
渡嘉敷村,2019,303
座間味村,2019,538
粟国村,2019,81
渡名喜村,2019,33
南大東村,2019,94
北大東村,2019,45
伊江村,2019,192
伊平屋村,2019,109
伊是名村,2019,155
沖縄県,2019,54380
南部,2019,21705
中部,2019,7188
北部,2019,12022
宮古,2019,4008
八重山,2019,7249
離島,2019,2208
那覇市,2020,20601
糸満市,2020,649
豊見城市,2020,557
八重瀬町,2020,91
南城市,2020,459
与那原町,2020,42
南風原町,2020,43
沖縄市,2020,1239
宜野湾市,2020,806
浦添市,2020,185
うるま市,2020,848
読谷村,2020,1529
嘉手納町,2020,61
北谷町,2020,2658
北中城村,2020,419
中城村,2020,24
西原町,2020,29
名護市,2020,3234
国頭村,2020,387
大宜味村,2020,42
東村,2020,114
今帰仁村,2020,592
本部町,2020,2251
恩納村,2020,5807
宜野座村,2020,162
金武町,2020,148
宮古島市,2020,4775
多良間村,2020,73
石垣市,2020,5996
竹富町,2020,1434
与那国町,2020,304
久米島町,2020,661
渡嘉敷村,2020,314
座間味村,2020,534
粟国村,2020,81
渡名喜村,2020,29
