市町村,年,軒数
八重瀬町,2013,3
伊平屋村,2013,14
浦添市,2013,5
粟国村,2013,9
豊見城市,2013,11
多良間村,2013,11
北中城村,2013,4
嘉手納町,2013,3
渡名喜村,2013,10
南大東村,2013,5
与那原町,2013,4
中城村,2013,0
北大東村,2013,2
南風原町,2013,0
西原町,2013,3
沖縄県,2013,1441
南部,2013,229
中部,2013,142
北部,2013,294
宮古,2013,204
八重山,2013,364
離島,2013,208
宮古島市,2014,214
那覇市,2014,181
石垣市,2014,203
恩納村,2014,79
本部町,2014,84
今帰仁村,2014,70
名護市,2014,40
竹富町,2014,147
うるま市,2014,47
読谷村,2014,32
北谷町,2014,28
南城市,2014,26
沖縄市,2014,17
座間味村,2014,75
金武町,2014,6
宜野湾市,2014,9
久米島町,2014,25
国頭村,2014,20
渡嘉敷村,2014,35
宜野座村,2014,22
与那国町,2014,27
東村,2014,8
大宜味村,2014,11
糸満市,2014,9
伊江村,2014,17
伊是名村,2014,20
八重瀬町,2014,5
伊平屋村,2014,14
浦添市,2014,7
粟国村,2014,9
豊見城市,2014,11
多良間村,2014,11
北中城村,2014,4
嘉手納町,2014,3
渡名喜村,2014,10
南大東村,2014,5
与那原町,2014,4
中城村,2014,0
北大東村,2014,2
南風原町,2014,1
西原町,2014,3
沖縄県,2014,1541
南部,2014,237
中部,2014,150
北部,2014,340
宮古,2014,225
八重山,2014,377
離島,2014,212
宮古島市,2015,223
那覇市,2015,197
石垣市,2015,203
恩納村,2015,92
本部町,2015,110
今帰仁村,2015,84
名護市,2015,43
竹富町,2015,153
うるま市,2015,47
読谷村,2015,37
北谷町,2015,34
南城市,2015,29
沖縄市,2015,23
座間味村,2015,77
金武町,2015,13
宜野湾市,2015,13
久米島町,2015,23
国頭村,2015,22
渡嘉敷村,2015,35
宜野座村,2015,21
与那国町,2015,26
東村,2015,9
大宜味村,2015,11
糸満市,2015,9
伊江村,2015,16
伊是名村,2015,20
八重瀬町,2015,4
伊平屋村,2015,14
浦添市,2015,7
粟国村,2015,9
豊見城市,2015,13
